rating,genre avg rating,director avg rating,director in genres avg rating,star_0 avg rating,star_0 & director avg rating,star_0 in genres avg rating,star_1 avg rating,star_1 & director avg rating,star_1 in genres avg rating,star_2 avg rating,star_2 & director avg rating,star_2 in genres avg rating,stars_0-3 avg rating,stars_0-3 & director avg rating,stars_0-3 in genres avg rating,stars_3-6 avg rating,stars_3-6 & director avg rating,stars_3-6 in genres avg rating,stars_6-10 avg rating,stars_6-10 & director avg rating,stars_6-10 in genres avg rating
8.1,8.16407766990291,8.0,8.059999999999999,8.05,8.05,8.149999999999999,8.0,8.0,8.06,8.2,8.2,8.125,8.059999999999999,8.059999999999999,8.107692307692307,8.2,8.2,8.118181818181817,8.15,8.15,8.1375
7.8,8.16407766990291,8.9,8.075,9.2,9.2,8.36,nan,nan,7.8,nan,nan,8.04,9.2,9.2,8.107692307692306,nan,nan,7.799999999999999,nan,nan,7.8
7.6,7.755932203389829,7.2749999999999995,7.339999999999996,nan,nan,7.6,8.0,8.0,7.636363636363637,nan,nan,7.6,8.0,8.0,7.619047619047619,7.266666666666666,7.266666666666666,7.446153846153846,7.099999999999999,7.099999999999999,7.4125000000000005
8.0,8.057142857142857,7.8,8.0,nan,nan,8.0,8.3,8.3,8.0,8.600000000000001,8.600000000000001,8.0,8.450000000000001,8.450000000000001,8.0,8.0,8.0,8.0,nan,nan,8.0
8.4,8.139495798319324,8.2,8.35,8.166666666666666,8.166666666666666,8.27142857142857,8.2,8.2,8.35,8.2,8.2,8.2,8.180000000000001,8.180000000000001,8.291666666666666,8.3,8.3,8.381818181818183,nan,nan,8.314285714285715
7.8,8.059459459459461,nan,7.8999999999999995,nan,nan,7.8,7.85,7.85,7.8999999999999995,8.5,8.5,8.033333333333333,8.066666666666666,8.066666666666666,7.925,nan,nan,7.8999999999999995,8.1,8.1,7.833333333333333
8.3,8.10655737704918,8.0,8.180000000000001,7.4,7.4,8.075000000000001,7.9,7.9,8.200000000000001,8.3,8.3,8.3,7.866666666666667,7.866666666666667,8.191666666666668,nan,nan,8.3,nan,nan,8.3
9.1,8.190909090909091,9.2,8.9,8.5,8.5,8.700000000000001,8.433333333333332,8.433333333333332,8.657142857142857,9.2,9.2,9.15,8.583333333333334,8.583333333333334,8.788235294117648,8.6,8.6,8.776923076923076,8.75,8.75,8.983333333333334
7.9,8.10655737704918,9.2,8.400000000000002,7.85,7.85,7.88,9.2,9.2,8.400000000000002,nan,nan,7.900000000000001,8.299999999999999,8.299999999999999,8.084615384615386,7.5,7.5,7.860000000000001,7.5,7.5,7.86923076923077
7.5,7.8619047619047615,nan,7.5,nan,nan,7.5,nan,nan,7.5,nan,nan,7.5,nan,nan,7.5,nan,nan,7.5,nan,nan,7.5
